paper_id,doi,title
2023_-_Atomic_pinning_mitigates_voltage_decay_in_a_lithiu_reactions,10.1038/s41560-023-01289-6,Atomic pinning mitigates voltage decay in a lithium-rich layered oxide
Abraham_-_2020_-_How_Comparable_Are_Sodium-Ion_Batteries_to_Lithium_reactions,10.1021/acsenergylett.0c02181,How Comparable Are Sodium-Ion Batteries to Lithium-Ion Counterparts?
Adams_and_Rao_-_2011_-_High_power_lithium_ion_battery_materials_by_comput_reactions,,High power lithium ion battery materials by computational design
Advanced_Energy_Materials_-_2022_-_Kim_-_Stepwise_Dopant_Selection_Process_for_High_Nickel_Layered_Oxide_Cathodes_reactions,10.1002/aenm.202200136,Stepwise Dopant Selection Process for High-Nickel Layered Oxide Cathodes
Advanced_Materials_-_2016_-_Liang_-_Interwoven_MXene_Nanosheet_Carbon_Nanotube_Composites_as_Li_S_Cathode_Hosts_reactions,10.1002/adma.201603040,Interwoven MXene Nanosheet/Carbon-Nanotube Composites as Li–S Cathode Hosts
Ahmed_et_al__-_2016_-_Energy_impact_of_cathode_drying_and_solvent_recove_reactions,10.1016/j.jpowsour.2016.04.102,Energy impact of cathode drying and solvent recovery during lithium-ion battery manufacturing
Akhilash_et_al__-_2021_-_A_journey_through_layered_cathode_materials_for_li_reactions,10.1016/j.jallcom.2021.159239,A journey through layered cathode materials for lithium ion cells – From lithium cobalt oxide to lithium-rich transition metal oxides
Aparicio_and_De_Leeuw_-_2020_-_Electronic_structure__ion_diffusion_and_cation_dop_reactions,10.1039/c9cp05559b,"Electronic structure, ion diffusion and cation doping in the Na4VO(PO4)2 compound as a cathode material for Na-ion batteries"
Arunkumar_et_al__-_2016_-_Improved_electrochemical_reversibility_of_over-lit_reactions,10.1016/j.jpowsour.2016.05.013,Improved electrochemical reversibility of over-lithiated layered Li2RuO3 cathodes: Understanding aliovalent Co3+ substitution with excess lithium
Bhardwaj_et_al__-_2022_-_High-Performance_Li-Metal-Free_Sulfur_Battery_Empl_reactions,10.1021/acssuschemeng.1c06581,High-Performance Li-Metal-Free Sulfur Battery Employing a Lithiated Anatase TiO2 Anode and a Freestanding Li2S−Carbon Aerogel Cathode
Booth_et_al__-_2021_-_Perspectives_for_next_generation_lithium-ion_batte_reactions,10.1063/5.0051092,Perspectives for next generation lithium-ion battery cathode materials
Byeon_et_al__-_2017_-_Two-Dimensional_Titanium_Carbide_MXene_As_a_Cathod_reactions,10.1021/acsami.6b04198,Two-Dimensional Titanium Carbide MXene As a Cathode Material for Hybrid Magnesium/Lithium-Ion Batteries
Ceder_et_al__-_1998_-_Identification_of_cathode_materials_for_lithium_ba_reactions,,Identification of cathode materials for lithium batteries guided by first-principles calculations
Chakraborty_et_al__-_2018_-_Current_computational_trends_in_polyanionic_cathod_reactions,10.1088/1361-648X/aac62d,Current computational trends in polyanionic cathode materials for Li and Na batteries
Chakraborty_et_al__-_2020_-_Layered_Cathode_Materials_for_Lithium-Ion_Batterie_reactions,10.1021/acs.chemmater.9b04066,Layered Cathode Materials for Lithium-Ion Batteries: Review of Computational Studies on LiNi1−x−yCoxMnyO2 and LiNi1−x−yCoxAlyO2
Cheng_et_al__-_2013_-_Self-assembled_V2O5_nanosheetsreduced_graphene_ox_reactions,10.1039/c3ta12066j,Self-assembled V2O5 nanosheets/reduced graphene oxide hierarchical nanocomposite as a high-performance cathode material for lithium ion batteries
Cheng_et_al__-_2020_-_Revealing_the_Impact_of_Space-Charge_Layers_on_the_reactions,10.1016/j.joule.2020.04.002,Revealing the Impact of Space-Charge Layers on the Li-Ion Transport in All-Solid-State Batteries
Cheng_et_al__-_2022_-_Degradation_Mechanism_of_All-Solid-State_Li-Metal__reactions,10.1021/acsami.2c09841,Degradation Mechanism of All-Solid-State Li-Metal Batteries Studied by Electrochemical Impedance Spectroscopy
Chen_et_al__-_2019_-_Cation_and_anion_Co-doping_synergy_to_improve_stru_reactions,10.1016/j.nanoen.2018.12.049,Cation and anion Co-doping synergy to improve structural stability of Li- and Mn-rich layered cathode materials for lithium-ion batteries
Chen_et_al__-_2022_-_Review_on_Defects_and_Modification_Methods_of_LiFe_reactions,10.1021/acs.energyfuels.1c03757,Review on Defects and Modification Methods of LiFePO4 Cathode Material for Lithium-Ion Batteries
Chen_et_al__-_Staging_Phase_Transitions_in_LixCoO2_reactions,10.1149/1.1519850,Staging Phase Transitions in Li xCoO2
Cherkashinin_et_al__-_2019_-_Performance_of_Li-Ion_Batteries_Contribution_of_E_reactions,10.1149/2.0441903jes,Performance of Li-Ion Batteries: Contribution of Electronic Factors to the Battery Voltage
